  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:10 init [3]
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [pool_workqueue_release]
    4 ?        I<     0:00 [kworker/R-rcu_g]
    5 ?        I<     0:00 [kworker/R-rcu_p]
    6 ?        I<     0:00 [kworker/R-slub_]
    7 ?        I<     0:00 [kworker/R-netns]
    9 ?        I<     0:00 [kworker/0:0H-kblockd]
   12 ?        I<     0:00 [kworker/R-mm_pe]
   13 ?        I      0:00 [rcu_tasks_kthread]
   14 ?        S      1:09 [ksoftirqd/0]
   15 ?        I      3:42 [rcu_preempt]
   16 ?        S      0:00 [migration/0]
   17 ?        S      0:00 [cpuhp/0]
   18 ?        S      0:00 [cpuhp/1]
   19 ?        S      0:00 [migration/1]
   20 ?        S      1:08 [ksoftirqd/1]
   22 ?        I<     0:00 [kworker/1:0H-events_highpri]
   23 ?        S      0:00 [cpuhp/2]
   24 ?        S      0:00 [migration/2]
   25 ?        S      1:14 [ksoftirqd/2]
   27 ?        I<     0:20 [kworker/2:0H-kblockd]
   28 ?        S      0:00 [cpuhp/3]
   29 ?        S      0:00 [migration/3]
   30 ?        S      1:11 [ksoftirqd/3]
   32 ?        I<     0:00 [kworker/3:0H-events_highpri]
   33 ?        S      0:00 [kdevtmpfs]
   34 ?        I<     0:00 [kworker/R-inet_]
   35 ?        S      0:00 [kauditd]
   36 ?        S      0:00 [oom_reaper]
   38 ?        I<     0:00 [kworker/R-write]
   39 ?        S      2:54 [kcompactd0]
   41 ?        I<     0:00 [kworker/R-pencr]
   42 ?        I<     0:00 [kworker/R-pdecr]
   43 ?        I<     0:00 [kworker/R-crypt]
   44 ?        I<     0:00 [kworker/R-kinte]
   45 ?        I<     0:00 [kworker/R-kbloc]
   46 ?        I<     0:00 [kworker/R-blkcg]
   49 ?        I<     0:00 [kworker/R-ata_s]
   50 ?        I<     0:00 [kworker/R-md]
   51 ?        I<     0:00 [kworker/R-md_bi]
   52 ?        I<     0:00 [kworker/R-edac-]
   53 ?        S      0:00 [watchdogd]
   55 ?        I<     0:33 [kworker/3:1H-kblockd]
   56 ?        I<     0:00 [kworker/R-rpcio]
   57 ?        I<     0:00 [kworker/R-xprti]
  100 ?        S      8:39 [kswapd0]
  102 ?        I<     0:00 [kworker/R-nfsio]
  104 ?        I<     0:00 [kworker/R-xfsal]
  107 ?        I<     0:00 [kworker/R-xfs_m]
